abbreviation,explanation
SSRC,Synchronization Source
SW,Software
SYN,Synchronize
TC,Truncation (Flag)
TCP,Transmission Connection Protocol
TDD,Time Division Duplex
TDM,Time Division Multiplexing
TL,Transport Layer
TLA,Top Level Aggregation
TLD,Top Level Domain
TLS,Transport Layer Security
ToS,Type of Service
TPDU,Transport Protocol Data Unit
TS,Transport Service
TSDU,Transport Service Data Unit
TTL,Time To Live
TV,Television
UDP,User Datagram Protocol
UI,user Interface
UK,United Kingdom
UMTS,Universal Mobile Telecommunications System
URG,Urgent (Flag)
URL,Unified Resource Locator
US,United States
USA,United States of America
VLSM,Variable Length Subnet Masks
VoIP,Voice over IP
WAN,Wide Area Network
WDM,Wavelength Division Multiplexing
WLAN,Wireless LAN
WSN,Wireless Sensor Network
WWW,World Wide Web
